Data,GPR
2020-01-01,92.36
2020-01-02,103.55
2020-01-03,104.69
2020-01-04,163.66
2020-01-05,164.88
2020-01-06,183.16
2020-01-07,200.73
2020-01-08,222.62
2020-01-09,243.48
2020-01-10,254.74
2020-01-11,233.73
2020-01-12,230.0
2020-01-13,211.82
2020-01-14,188.68
2020-01-15,172.78
2020-01-16,149.94
2020-01-17,139.42
2020-01-18,127.79
2020-01-19,119.75
2020-01-20,119.65
2020-01-21,115.12
2020-01-22,111.64
2020-01-23,108.22
2020-01-24,107.78
2020-01-25,106.56
2020-01-26,105.34
2020-01-27,98.1
2020-01-28,97.65
2020-01-29,98.97
2020-01-30,101.03
2020-01-31,101.5
2020-02-01,101.38
2020-02-02,99.5
2020-02-03,100.85
2020-02-04,100.99
2020-02-05,95.58
2020-02-06,90.32
2020-02-07,87.76
2020-02-08,86.74
2020-02-09,86.25
2020-02-10,85.08
2020-02-11,80.69
2020-02-12,79.73
2020-02-13,83.24
2020-02-14,82.04
2020-02-15,83.98
2020-02-16,83.19
2020-02-17,83.85
2020-02-18,81.89
2020-02-19,85.91
2020-02-20,84.73
2020-02-21,85.83
2020-02-22,88.45
2020-02-23,90.48
2020-02-24,91.47
2020-02-25,90.69
2020-02-26,87.18
2020-02-27,91.26
2020-02-28,92.5
2020-02-29,89.61
2020-03-01,89.33
2020-03-02,89.13
2020-03-03,93.8
2020-03-04,92.64
2020-03-05,87.04
2020-03-06,83.32
2020-03-07,85.17
2020-03-08,81.52
2020-03-09,77.27
2020-03-10,77.42
2020-03-11,76.91
2020-03-12,77.19
2020-03-13,73.74
2020-03-14,65.41
2020-03-15,64.58
2020-03-16,59.9
2020-03-17,54.13
2020-03-18,51.57
2020-03-19,49.21
2020-03-20,51.97
2020-03-21,52.76
2020-03-22,54.74
2020-03-23,56.82
2020-03-24,57.14
2020-03-25,54.36
2020-03-26,57.03
2020-03-27,56.56
2020-03-28,52.1
2020-03-29,50.42
2020-03-30,48.55
2020-03-31,47.1
2020-04-01,48.29
2020-04-02,45.35
2020-04-03,45.07
2020-04-04,47.33
2020-04-05,47.29
2020-04-06,46.87
2020-04-07,44.57
2020-04-08,43.1
2020-04-09,45.85
2020-04-10,43.59
2020-04-11,44.89
2020-04-12,43.4
2020-04-13,44.33
2020-04-14,45.59
2020-04-15,45.2
2020-04-16,41.78
2020-04-17,40.01
2020-04-18,38.66
2020-04-19,38.09
2020-04-20,34.53
2020-04-21,34.79
2020-04-22,38.66
2020-04-23,41.4
2020-04-24,43.69
2020-04-25,42.25
2020-04-26,41.78
2020-04-27,44.38
2020-04-28,45.89
2020-04-29,42.63
2020-04-30,40.93
2020-05-01,41.91
2020-05-02,44.26
2020-05-03,46.66
2020-05-04,48.05
2020-05-05,47.32
2020-05-06,48.11
2020-05-07,46.48
2020-05-08,44.28
2020-05-09,45.73
2020-05-10,46.38
2020-05-11,45.43
2020-05-12,46.02
2020-05-13,49.04
2020-05-14,51.46
2020-05-15,50.56
2020-05-16,52.79
2020-05-17,53.13
2020-05-18,55.54
2020-05-19,63.05
2020-05-20,66.59
2020-05-21,69.02
2020-05-22,79.63
2020-05-23,77.85
2020-05-24,76.72
2020-05-25,79.12
2020-05-26,72.78
2020-05-27,71.59
2020-05-28,75.74
2020-05-29,72.93
2020-05-30,78.4
2020-05-31,82.78
2020-06-01,81.7
2020-06-02,83.77
2020-06-03,86.91
2020-06-04,85.2
2020-06-05,81.86
2020-06-06,73.21
2020-06-07,69.34
2020-06-08,67.46
2020-06-09,61.52
2020-06-10,56.25
2020-06-11,52.7
2020-06-12,52.11
2020-06-13,50.96
2020-06-14,48.11
2020-06-15,45.38
2020-06-16,48.15
2020-06-17,51.54
2020-06-18,51.21
2020-06-19,53.3
2020-06-20,59.43
2020-06-21,62.83
2020-06-22,69.21
2020-06-23,73.15
