Data,JSW
2020-01-01,"21,38"
2020-01-02,"24,24"
2020-01-03,"23,28"
2020-01-06,"23,28"
2020-01-07,"24,22"
2020-01-08,"21,88"
2020-01-09,"22,44"
2020-01-10,"22,54"
2020-01-13,"22,7"
2020-01-14,"23,64"
2020-01-15,"23,58"
2020-01-16,"23,1"
2020-01-17,"22,68"
2020-01-20,"21,64"
2020-01-21,"21,14"
2020-01-22,"20,94"
2020-01-23,"20,56"
2020-01-24,"20,54"
2020-01-27,"19,2"
2020-01-28,"20,14"
2020-01-29,"19,99"
2020-01-30,"19,25"
2020-01-31,"18,8"
2020-02-03,"19,71"
2020-02-04,"19,78"
2020-02-05,"19,24"
2020-02-06,"18,89"
2020-02-07,"18,79"
2020-02-10,"18,2"
2020-02-11,"18,35"
2020-02-12,"18,84"
2020-02-13,"18,02"
2020-02-14,"17,88"
2020-02-17,"18,3"
2020-02-18,"17,85"
2020-02-19,"17,18"
2020-02-20,"16,01"
2020-02-21,"16,01"
2020-02-24,"14,75"
2020-02-25,"14,31"
2020-02-26,"14,3"
2020-02-27,"13,11"
2020-02-28,"13,53"
2020-03-02,"14,19"
2020-03-03,"15,15"
2020-03-04,"14,54"
2020-03-05,"14,15"
2020-03-06,"13,85"
2020-03-09,"12,5"
2020-03-10,"12,08"
2020-03-11,"10,85"
2020-03-12,"9,13"
2020-03-13,"10,0"
2020-03-16,"11,5"
2020-03-17,"13,98"
2020-03-18,"13,25"
2020-03-19,"14,0"
2020-03-20,"13,61"
2020-03-23,"12,5"
2020-03-24,"13,0"
2020-03-25,"12,84"
2020-03-26,"12,85"
2020-03-27,"12,75"
2020-03-30,"12,45"
2020-03-31,"12,44"
2020-04-01,"11,65"
2020-04-02,"12,03"
2020-04-03,"11,97"
2020-04-06,"12,8"
2020-04-07,"12,55"
2020-04-08,"12,86"
2020-04-09,"13,09"
2020-04-10,"13,09"
2020-04-13,"13,09"
2020-04-14,"14,52"
2020-04-15,"13,81"
2020-04-16,"13,62"
2020-04-17,"13,62"
2020-04-20,"13,3"
2020-04-21,"12,52"
2020-04-22,"12,98"
2020-04-23,"13,97"
2020-04-24,"13,35"
2020-04-27,"13,05"
2020-04-28,"13,04"
2020-04-29,"13,72"
2020-04-30,"13,69"
