Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-07-10,7.60799,7.60799,7.60799,7.60799,7605497.981623
1997-07-11,7.77006,7.77006,7.77006,7.77006,4810642.6532262
1997-07-14,6.99525,6.99525,6.99525,6.99525,1230063.9822704
1997-07-15,6.31664,6.31664,6.31664,6.31664,2570589.8092289
1997-07-16,6.92948,6.92948,6.92948,6.92948,1762556.1340692
1997-07-17,7.06094,7.12214,7.06094,7.12214,2375710.5748821
1997-07-18,6.96017,6.96017,6.73689,6.7675,826007.81053571
1997-07-21,6.96017,6.96017,6.89886,6.96017,1130253.8267012
1997-07-22,6.96017,7.06094,6.96017,6.99525,732835.16247463
1997-07-23,7.02577,7.02577,6.83319,6.89886,628409.79940928
1997-07-24,6.96017,6.96017,6.89886,6.89886,765882.14596871
1997-07-25,6.92948,6.92948,6.86379,6.86379,611277.93940138
1997-07-28,6.80259,6.80259,6.702,6.702,637195.4762247
1997-07-29,6.6406,6.80259,6.6406,6.73689,364691.59852483
1997-07-30,6.73689,6.96017,6.73689,6.89886,406494.88933208
1997-07-31,6.86379,6.86379,6.702,6.73689,404198.82360274
1997-08-01,6.73689,6.86379,6.73689,6.73689,301662.54887843
1997-08-04,6.80259,6.86379,6.80259,6.83319,427839.17509101
1997-08-05,6.86379,6.96017,6.86379,6.96017,632623.27407112
1997-08-06,6.96017,6.96017,6.86379,6.89886,462454.280223
1997-08-07,6.92948,7.38461,6.92948,7.34972,578624.29745527
1997-08-08,7.25353,7.77006,7.25353,7.57738,1145300.4520495
1997-08-11,7.4462,7.4462,7.22292,7.25353,823257.56643231
1997-08-12,7.22292,7.4462,7.22292,7.34972,680700.10034075
1997-08-13,7.4462,7.4462,7.4462,7.4462,912381.41882631
1997-08-14,7.18784,7.28412,7.15723,7.18784,395590.41271161
1997-08-18,7.09145,7.09145,6.89886,6.96017,380342.39649078
1997-08-19,7.18784,7.4462,7.18784,7.31921,711525.49077191
1997-08-20,7.38461,7.38461,7.25353,7.28412,697514.14037789
1997-08-21,7.12214,7.12214,7.06094,7.06094,241708.90568175
1997-08-22,7.02577,7.18784,7.02577,7.15723,231633.068589
1997-08-25,7.06094,7.15723,6.96017,6.96017,216946.21964327
1997-08-26,6.96017,7.09145,6.96017,7.02577,253061.2672115
1997-08-27,7.02577,7.09145,7.02577,7.06094,237852.06069007
1997-08-28,7.22292,7.38461,7.22292,7.34972,946951.42079412
1997-08-29,7.28412,7.28412,7.22292,7.25353,1013322.3002321
1997-09-01,7.15723,7.22292,7.15723,7.15723,269429.52016095
1997-09-02,7.28412,7.34972,7.28412,7.31921,626619.30868293
1997-09-03,7.38461,7.54678,7.38461,7.5117,1198093.1812515
1997-09-04,7.38461,7.38461,7.28412,7.31921,624269.74850307
1997-09-05,7.28412,7.4155,7.28412,7.34972,537471.33134066
1997-09-08,7.31921,7.31921,7.25353,7.31921,213009.65743121
1997-09-09,7.22292,7.28412,7.22292,7.25353,409350.02451493
1997-09-10,7.22292,7.31921,7.22292,7.25353,398935.38923553
1997-09-11,7.15723,7.25353,7.15723,7.22292,402726.15284715
1997-09-12,7.22292,7.28412,7.22292,7.25353,363800.02434944
1997-09-15,7.18784,7.28412,7.18784,7.25353,324956.7598045
1997-09-16,7.18784,7.22292,7.12214,7.12214,360995.23688473
1997-09-17,7.09145,7.09145,7.02577,7.06094,390373.13041936
1997-09-18,6.99525,7.12214,6.96017,7.12214,567776.46201771
1997-09-19,7.28412,7.4155,7.28412,7.4155,1445599.4168949
1997-09-22,7.4462,7.4462,7.31921,7.34972,909228.39297779
1997-09-23,7.34972,7.34972,7.25353,7.28412,619093.37373181
1997-09-24,7.15723,7.25353,7.15723,7.22292,440390.44165898
1997-09-25,7.09145,7.09145,6.99525,7.02577,649278.92857827
1997-09-26,6.99525,7.02577,6.96017,6.96017,571473.87256861
1997-09-29,7.02577,7.09145,7.02577,7.02577,458700.22848919
1997-09-30,7.15723,7.15723,7.02577,7.06094,412528.22422251
1997-10-01,7.12214,7.15723,7.09145,7.15723,717660.57000942
1997-10-02,7.09145,7.09145,7.02577,7.02577,567949.53229882
1997-10-03,7.12214,7.25353,7.12214,7.18784,1498247.3964074
1997-10-06,7.12214,7.25353,7.12214,7.18784,1565215.1060874
1997-10-07,7.12214,7.34972,7.12214,7.31921,1530360.8492943
1997-10-08,7.34972,7.64297,7.34972,7.60799,2420319.7020648
1997-10-09,7.4462,7.54678,7.4155,7.4155,2365541.3847286
1997-10-10,7.31921,7.34972,7.25353,7.25353,1169101.2868893
1997-10-13,7.38461,7.4811,7.38461,7.4811,1015970.7999884
1997-10-14,7.4462,7.54678,7.38461,7.4155,1230323.0632366
1997-10-15,7.54678,7.57738,7.5117,7.57738,1834271.2140055
1997-10-16,7.60799,7.60799,7.4811,7.5117,1137728.3650234
1997-10-17,7.54678,7.64297,7.54678,7.60799,1266550.3442599
1997-10-20,7.64297,7.70876,7.64297,7.64297,1846540.3235697
1997-10-21,7.73936,7.93204,7.73936,7.90134,1585895.4313134
1997-10-22,7.93204,8.09402,7.93204,7.96703,1818707.4756355
1997-10-23,7.90134,7.90134,7.60799,7.64297,3365526.7842075
1997-10-24,7.57738,7.70876,7.57738,7.67387,1856027.7217067
1997-10-27,7.18784,7.22292,7.06094,7.06094,1938710.2129112
1997-10-28,6.47882,6.47882,5.8309,5.92691,707157.82622328
1997-10-29,7.06094,7.06094,6.6406,6.89886,2176973.4466327
1997-10-30,6.702,6.702,6.47882,6.60561,2020670.0045782
1997-10-31,6.67111,6.73689,6.6406,6.702,2388512.5311299
1997-11-03,6.702,6.83319,6.702,6.80259,1413104.1604788
1997-11-04,6.57501,6.6406,6.50932,6.53992,1580381.3072663
1997-11-05,6.47882,6.50932,6.44373,6.44373,1452798.0916782
1997-11-06,6.57501,6.57501,6.50932,6.50932,829913.95433473
1997-11-07,6.41294,6.41294,6.25107,6.31664,1038622.0285974
1997-11-12,6.31664,6.31664,5.8309,6.02339,1193857.679463
1997-11-13,5.76522,5.8309,5.66883,5.8309,2038602.1835223
1997-11-14,5.92691,5.92691,5.79564,5.8309,1505011.8221216
1997-11-17,6.11968,6.15467,5.99269,6.11968,1419052.5335949
1997-11-18,6.15467,6.15467,6.02339,6.05419,1244070.0881104
1997-11-19,5.69953,5.8309,5.69953,5.73014,1025887.2026403
1997-11-20,5.69953,5.69953,5.60315,5.66883,805271.89303763
1997-11-21,5.86141,5.86141,5.73014,5.79564,943885.45454156
1997-11-24,5.27919,5.37547,5.14792,5.1827,1868666.0478706
1997-11-25,5.1173,5.14792,5.08222,5.1173,1662646.3319745
1997-11-26,5.14792,5.14792,4.95523,4.98584,1307023.6161796
1997-11-27,5.08222,5.08222,4.82395,4.82395,1546197.3044709
1997-11-28,4.92034,4.92034,4.72757,4.85904,1552655.4482331
1997-12-01,5.05173,5.14792,5.05173,5.08222,1730268.5619904
1997-12-02,5.1173,5.1173,5.02101,5.02101,1007030.9332862
1997-12-03,5.02101,5.02101,4.88965,4.95523,701643.70217616
1997-12-04,4.92034,5.02101,4.88965,4.92034,1431699.2510451
1997-12-05,4.88965,4.88965,4.72757,4.79325,1249725.8151148
1997-12-08,4.79325,4.79325,4.66197,4.69716,748747.13922843
1997-12-09,4.72757,4.72757,4.63138,4.66197,637930.7626917
1997-12-10,4.63138,4.63138,4.5349,4.5349,727540.26078358
1997-12-11,4.30733,4.33812,4.17614,4.21122,1110937.0855082
1997-12-12,4.17614,4.21122,4.17614,4.17614,1229852.1022899
1997-12-15,4.24183,4.30733,4.21122,4.24183,1153159.9406333
1997-12-16,4.24183,4.24183,4.07975,4.11036,1186205.8752165
1997-12-17,4.14544,4.14544,3.88709,3.95276,981170.03764575
