Data,KGH
2020-01-01,"89,45"
2020-01-02,"91,62"
2020-01-03,"89,95"
2020-01-06,"89,95"
2020-01-07,"89,8"
2020-01-08,"88,87"
2020-01-09,"90,68"
2020-01-10,"92,65"
2020-01-13,"93,58"
2020-01-14,"93,4"
2020-01-15,"92,42"
2020-01-16,"93,12"
2020-01-17,"94,52"
2020-01-20,"93,96"
2020-01-21,"91,49"
2020-01-22,"90,78"
2020-01-23,"90,18"
2020-01-24,"91,11"
2020-01-27,"87,18"
2020-01-28,"87,69"
2020-01-29,"88,06"
2020-01-30,"86,57"
2020-01-31,"85,35"
2020-02-03,"86,66"
2020-02-04,"90,25"
2020-02-05,"91,79"
2020-02-06,"91,43"
2020-02-07,"88,66"
2020-02-10,"86,25"
2020-02-11,"88,16"
2020-02-12,"90,59"
2020-02-13,"88,61"
2020-02-14,"87,88"
2020-02-17,"89,43"
2020-02-18,"87,41"
2020-02-19,"87,71"
2020-02-20,"86,34"
2020-02-21,"85,05"
2020-02-24,"79,47"
2020-02-25,"78,63"
2020-02-26,"76,81"
2020-02-27,"71,67"
2020-02-28,"66,01"
2020-03-02,"68,32"
2020-03-03,"72,83"
2020-03-04,"70,75"
2020-03-05,"68,43"
2020-03-06,"65,47"
2020-03-09,"58,21"
2020-03-10,"58,21"
2020-03-11,"55,03"
2020-03-12,"46,23"
2020-03-13,"49,11"
2020-03-16,"48,23"
2020-03-17,"51,47"
2020-03-18,"49,28"
2020-03-19,"52,84"
2020-03-20,"54,2"
2020-03-23,"51,13"
2020-03-24,"54,69"
2020-03-25,"55,18"
2020-03-26,"55,55"
2020-03-27,"54,37"
2020-03-30,"53,72"
2020-03-31,"55,98"
2020-04-01,"54,95"
2020-04-02,"55,18"
2020-04-03,"55,44"
2020-04-06,"60,83"
2020-04-07,"64,57"
2020-04-08,"63,17"
2020-04-09,"64,89"
2020-04-10,"64,89"
2020-04-13,"64,89"
2020-04-14,"70,15"
2020-04-15,"65,75"
2020-04-16,"66,09"
2020-04-17,"67,79"
2020-04-20,"68,15"
2020-04-21,"65,28"
2020-04-22,"67,38"
2020-04-23,"69,07"
2020-04-24,"68,13"
2020-04-27,"67,85"
2020-04-28,"68,82"
2020-04-29,"72,72"
2020-04-30,"72,04"
2020-05-01,"72,04"
2020-05-04,"69,25"
2020-05-05,"70,06"
2020-05-06,"69,25"
2020-05-07,"70,36"
2020-05-08,"72,06"
2020-05-11,"70,51"
2020-05-12,"70,79"
2020-05-13,"69,07"
2020-05-14,"67,38"
2020-05-15,"68,09"
2020-05-18,"75,92"
2020-05-19,"77,58"
2020-05-20,"77,77"
2020-05-21,"75,9"
2020-05-22,"74,79"
2020-05-25,"75,28"
2020-05-26,"79,73"
2020-05-27,"79,85"
2020-05-28,"79,9"
2020-05-29,"80,75"
2020-06-01,"81,81"
2020-06-02,"82,45"
2020-06-03,"82,22"
2020-06-04,"82,54"
2020-06-05,"85,65"
2020-06-08,"84,98"
2020-06-09,"82,93"
2020-06-10,"84,13"
2020-06-11,"84,13"
2020-06-12,"81,79"
2020-06-15,"79,45"
2020-06-16,"82,09"
2020-06-17,"81,25"
2020-06-18,"80,95"
2020-06-19,"82,26"
2020-06-22,"81,34"
2020-06-23,"84,13"
2020-06-24,"82,88"
2020-06-25,"84,1"
2020-06-26,"82,99"
2020-06-29,"84,66"
2020-06-30,"85,07"
2020-07-01,"87,0"
2020-07-02,"89,26"
2020-07-03,"88,21"
2020-07-06,"90,78"
2020-07-07,"90,78"
2020-07-08,"90,96"
2020-07-09,"94,9"
2020-07-10,"95,46"
2020-07-13,"100,84"
2020-07-14,"98,78"
2020-07-15,"100,23"
2020-07-16,"100,14"
2020-07-17,"100,37"
2020-07-20,"103,5"
2020-07-21,"105,75"
2020-07-22,"107,62"
2020-07-23,"111,37"
2020-07-24,"111,55"
2020-07-27,"122,03"
2020-07-28,"121,15"
2020-07-29,"122,97"
2020-07-30,"117,82"
2020-07-31,"117,96"
2020-08-03,"121,8"
2020-08-04,"121,15"
2020-08-05,"128,4"
2020-08-06,"130,41"
2020-08-07,"127,28"
2020-08-10,"129,15"
2020-08-11,"123,53"
2020-08-12,"125,73"
2020-08-13,"124,94"
2020-08-14,"123,53"
2020-08-17,"127,23"
2020-08-18,"127,28"
2020-08-19,"129,38"
2020-08-20,"125,68"
2020-08-21,"125,26"
2020-08-24,"129,05"
2020-08-25,"124,98"
2020-08-26,"128,63"
2020-08-27,"126,99"
2020-08-28,"127,88"
2020-08-31,"128,07"
2020-09-01,"127,51"
2020-09-02,"129,33"
2020-09-03,"124,61"
2020-09-04,"125,87"
2020-09-07,"128,21"
2020-09-08,"122,74"
2020-09-09,"128,59"
2020-09-10,"126,2"
2020-09-11,"127,7"
2020-09-14,"128,07"
2020-09-15,"127,56"
2020-09-16,"126,53"
2020-09-17,"123,53"
2020-09-18,"125,45"
2020-09-21,"119,41"
2020-09-22,"118,62"
2020-09-23,"113,1"
2020-09-24,"109,26"
2020-09-25,"110,48"
2020-09-28,"113,66"
2020-09-29,"110,66"
2020-09-30,"110,43"
2020-10-01,"107,76"
2020-10-02,"107,62"
2020-10-05,"110,71"
2020-10-06,"109,68"
2020-10-07,"112,3"
2020-10-08,"108,7"
2020-10-09,"112,26"
2020-10-12,"114,08"
2020-10-13,"111,37"
2020-10-14,"116,51"
2020-10-15,"116,51"
2020-10-16,"118,24"
2020-10-19,"116,98"
2020-10-20,"119,98"
2020-10-21,"122,78"
2020-10-22,"118,95"
2020-10-23,"118,38"
2020-10-26,"116,98"
2020-10-27,"117,78"
2020-10-28,"115,39"
2020-10-29,"110,29"
2020-10-30,"110,57"
2020-11-02,"112,49"
2020-11-03,"122,55"
2020-11-04,"120,16"
2020-11-05,"123,81"
2020-11-06,"129,01"
2020-11-09,"128,63"
2020-11-10,"126,01"
2020-11-11,"126,01"
2020-11-12,"128,21"
2020-11-13,"126,85"
2020-11-16,"135,6"
2020-11-17,"133,45"
2020-11-18,"131,95"
2020-11-19,"127,23"
2020-11-20,"133,36"
2020-11-23,"131,95"
2020-11-24,"138,51"
2020-11-25,"142,53"
2020-11-26,"145,71"
2020-11-27,"145,43"
