Data,PKN
2020-01-01,"61,16"
2020-01-02,"61,97"
2020-01-03,"61,09"
2020-01-06,"61,09"
2020-01-07,"58,65"
2020-01-08,"58,11"
2020-01-09,"60,33"
2020-01-10,"60,89"
2020-01-13,"61,52"
2020-01-14,"60,85"
2020-01-15,"60,63"
2020-01-16,"60,99"
2020-01-17,"61,46"
2020-01-20,"61,1"
2020-01-21,"60,53"
2020-01-22,"60,57"
2020-01-23,"60,92"
2020-01-24,"60,95"
2020-01-27,"58,85"
2020-01-28,"58,17"
2020-01-29,"56,5"
2020-01-30,"54,16"
2020-01-31,"53,92"
2020-02-03,"52,02"
2020-02-04,"53,05"
2020-02-05,"54,6"
2020-02-06,"52,66"
2020-02-07,"53,28"
2020-02-10,"51,71"
2020-02-11,"52,65"
2020-02-12,"53,05"
2020-02-13,"53,15"
2020-02-14,"54,16"
2020-02-17,"54,02"
2020-02-18,"53,8"
2020-02-19,"52,34"
2020-02-20,"51,94"
2020-02-21,"52,24"
2020-02-24,"49,74"
2020-02-25,"48,69"
2020-02-26,"47,46"
2020-02-27,"43,4"
2020-02-28,"41,79"
2020-03-02,"43,16"
2020-03-03,"44,37"
2020-03-04,"42,07"
2020-03-05,"40,52"
2020-03-06,"38,73"
2020-03-09,"38,65"
2020-03-10,"36,64"
2020-03-11,"33,12"
2020-03-12,"30,96"
2020-03-13,"32,55"
2020-03-16,"34,21"
2020-03-17,"35,25"
2020-03-18,"34,11"
2020-03-19,"35,99"
2020-03-20,"37,47"
2020-03-23,"35,43"
2020-03-24,"35,7"
2020-03-25,"36,49"
2020-03-26,"37,7"
2020-03-27,"37,01"
2020-03-30,"37,4"
2020-03-31,"39,69"
2020-04-01,"39,61"
2020-04-02,"42,9"
2020-04-03,"43,37"
2020-04-06,"45,47"
2020-04-07,"46,25"
2020-04-08,"46,18"
2020-04-09,"46,22"
2020-04-10,"46,22"
2020-04-13,"46,22"
2020-04-14,"46,36"
2020-04-15,"44,18"
2020-04-16,"42,76"
2020-04-17,"43,64"
2020-04-20,"44,11"
2020-04-21,"42,05"
2020-04-22,"43,37"
2020-04-23,"43,8"
2020-04-24,"43,36"
2020-04-27,"42,36"
2020-04-28,"43,13"
2020-04-29,"43,77"
2020-04-30,"44,44"
2020-05-01,"44,44"
2020-05-04,"42,42"
